Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19)
1e-11,0.1122453723480114,0.9,0.0,0.0,0.0,0.0,0.09999999731195545,6.884385936126315e-10,6.841050904179514e-10,4.756718629933371e-10,4.756718629933371e-10,4.113368003435813e-10,4.119941852815804e-10,4.1198295873649703e-10,4.1198295873649703e-10,3.6735093148310603e-10,3.6735093148310603e-10,3.3260600150178494e-10,3.3260600150178494e-10,3.0759829743195374e-12,1.257520220360396e-12,5.385774121382391e-13,1.1880752586094311e-13,0.0
1.153422772523323e-11,0.1122453723480114,0.9,0.0,0.0,0.0,0.0,0.09999999689954822,7.94060749719801e-10,7.888500613216843e-10,5.486507578940787e-10,5.486507578940787e-10,4.743326105107939e-10,4.752034744713477e-10,4.751905255186184e-10,4.751905255186184e-10,4.237109290068e-10,4.237109290068e-10,3.836353356192304e-10,3.836353356192304e-10,3.5476225586548485e-12,1.6630658394617983e-12,7.131311708889136e-13,1.577327896649774e-13,0.0
1.4074845644514707e-11,0.112245372424667,0.9,0.0,0.0,0.0,0.0,0.09999999621661881,9.68966688776913e-10,9.621863297099092e-10,6.695008012411686e-10,6.695008012411686e-10,5.78587729114476e-10,5.798754532524965e-10,5.79859652063666e-10,5.79859652063666e-10,5.170407629683047e-10,5.170407629683047e-10,4.681378105944134e-10,4.681378105944134e-10,4.3281109763533e-12,2.4522480906503286e-12,1.053644958834198e-12,2.3407917918610347e-13,0.0
1.6615463563796184e-11,0.11224537250132273,0.9,0.0,0.0,0.0,0.0,0.09999999553368943,1.143872626639539e-09,1.1353803285978787e-09,7.903508437629369e-10,7.903508437629369e-10,6.82765283542312e-10,6.845474313188087e-10,6.845287778938965e-10,6.845287778938965e-10,6.103705962924327e-10,6.103705962924327e-10,5.526402849925035e-10,5.526402849925035e-10,5.107958687134079e-12,3.3843393545261713e-12,1.4570263071653426e-12,3.251214693313934e-13,0.0
1.915608148307766e-11,0.11224537257797838,0.9,0.0,0.0,0.0,0.0,0.09999999485076004,1.3187785633076786e-09,1.30843626311915e-09,9.112008854593838e-10,9.112008854593838e-10,7.868668921659939e-10,7.892194086702845e-10,7.8919790300931e-10,7.8919790300931e-10,7.037004289791838e-10,7.037004289791838e-10,6.371427588135009e-10,6.371427588135009e-10,5.8871846287043904e-12,4.4551155598240214e-12,1.9218029585852056e-12,4.307135457054413e-13,0.0
2.1696699402359136e-11,0.11224537265463397,0.9,0.0,0.0,0.0,0.0,0.09999999416783065,1.493684498781332e-09,1.481358213436759e-09,1.032050926330509e-09,1.032050926330509e-09,8.908941374606853e-10,8.938913853069236e-10,8.938670274099063e-10,8.938670274099063e-10,7.970302610285579e-10,7.970302610285579e-10,7.216452320574055e-10,7.216452320574055e-10,6.6658071759702936e-12,5.660478168602173e-12,2.4465370162291977e-12,5.507108300093343e-13,0.0
2.4237317321640613e-11,0.11224537273128973,0.9,0.0,0.0,0.0,0.0,0.09999999348490128,1.6685904330604981e-09,1.654150140090831e-09,1.152900966376312e-09,1.152900966376312e-09,9.948485673235287e-10,9.985633612287257e-10,9.98536151095685e-10,9.98536151095685e-10,8.903600924405554e-10,8.903600924405554e-10,8.061477047242171e-10,8.061477047242171e-10,7.44384416511916e-12,6.996448804547447e-12,3.029823671821235e-12,6.849702333762323e-13,0.0
2.9318553160203566e-11,0.11224537288460097,0.9,0.0,0.0,0.0,0.0,0.09999999211904254,2.0184022980353678e-09,1.999359224679088e-09,1.3946010439919523e-09,1.3946010439919523e-09,1.2025450138551806e-09,1.2079073109278198e-09,1.207874396322791e-09,1.207874396322791e-09,1.0770197533524195e-09,1.0770197533524195e-09,9.751526483265616e-10,9.751526483265616e-10,8.998230382435691e-12,1.0044842973844046e-11,4.36658694413605e-12,9.957101285032273e-13,0.0
3.439978899876652e-11,0.11224537303791232,0.9,0.0,0.0,0.0,0.0,0.0999999907531838,2.368214158232285e-09,2.3440929495612212e-09,1.636301118306303e-09,1.636301118306303e-09,1.4099679526203723e-09,1.4172512577675651e-09,1.4172126386906257e-09,1.4172126386906257e-09,1.2636794117147756e-09,1.2636794117147756e-09,1.1441575896205327e-09,1.1441575896205327e-09,1.055047582993531e-11,1.3570732841128327e-11,5.921486917495834e-12,1.3618182296967149e-12,0.0
3.948102483732947e-11,0.11224537319122363,0.9,0.0,0.0,0.0,0.0,0.09999998938732511,2.718026013651247e-09,2.688378938189069e-09,1.8780011893193628e-09,1.8780011893193628e-09,1.6171285647569693e-09,1.626595201747961e-09,1.6265508781991889e-09,1.6265508781991889e-09,1.4503390675276241e-09,1.4503390675276241e-09,1.313162528606131e-09,1.313162528606131e-09,1.2100704909099123e-11,1.7546370553079904e-11,7.684432632302312e-12,1.7822043586891419e-12,0.0
