Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54)
1.2002270820272093e-11,0.11224537236215083,0.9,0.0,0.0,0.0,0.0,0.09999999677373615,8.263176800419448e-10,8.207590358021807e-10,5.708900407216184e-10,5.709384293197118e-10,4.935206089483205e-10,4.945107873473993e-10,4.944910055233486e-10,4.944549917002173e-10,4.4090453538763083e-10,4.4090453538763083e-10,3.9918580305311925e-10,3.992196569816728e-10,3.69130079908936e-12,1.7974756889899783e-12,7.710500499799374e-13,1.656067185368706e-13,5.13303246861533e-15,5.13303246861533e-15,1.5211027833178814e-13
1.4651048104181498e-11,0.11224537244207873,0.9,0.0,0.0,0.0,0.0,0.09999999606173303,1.0086868939767547e-09,1.0014268181884443e-09,6.96873058572778e-10,6.969451457497392e-10,6.021854496979763e-10,6.036507306714281e-10,6.036248683596828e-10,6.035712256141302e-10,5.382076134637033e-10,5.382076134637033e-10,4.872774298957903e-10,4.873278711757954e-10,4.50480118784955e-12,2.651190574903489e-12,1.1396333413362942e-12,2.4430229349260015e-13,9.258161662059982e-15,9.258161662059982e-15,2.2661248252349085e-13
1.7299825388090903e-11,0.11224537252200847,0.9,0.0,0.0,0.0,0.0,0.09999999534972993,1.1910595185621359e-09,1.1819376611492565e-09,8.228537180231166e-10,8.22954208083434e-10,7.107640008532945e-10,7.127930307221934e-10,7.127604610931493e-10,7.126856950696597e-10,6.355106908469746e-10,6.355106908469746e-10,5.753674078436697e-10,5.754377333262393e-10,5.317594806454094e-12,3.659171100366172e-12,1.5761759239357747e-12,3.3724043409883697e-13,1.5123450546848117e-14,1.5123450546848117e-14,3.159070489460604e-13
1.994860267200031e-11,0.11224537260194008,0.9,0.0,0.0,0.0,0.0,0.09999999463772682,1.3734355537430266e-09,1.3622963006898446e-09,9.488320191166807e-10,9.489656144773574e-10,8.192580725142549e-10,8.219376874556482e-10,8.218977808063293e-10,8.217984000910746e-10,7.328137675374451e-10,7.328137675374451e-10,6.634557369275496e-10,6.635492434590926e-10,6.1297029833768125e-12,4.816662823007544e-12,2.079017582989649e-12,4.439889596232535e-13,2.3013038103761128e-14,2.3013038103761128e-14,4.199891390171552e-13
2.2597379955909714e-11,0.1122453726818736,0.9,0.0,0.0,0.0,0.0,0.09999999392572372,1.555814999464344e-09,1.5425073260485443e-09,1.074807961897534e-09,1.0749793631266019e-09,9.276694299454351e-10,9.310847008277285e-10,9.310368246695782e-10,9.309093407026526e-10,8.301168435351147e-10,8.301168435351147e-10,7.515424171782341e-10,7.516624016004159e-10,6.941146386130815e-12,6.119058640561377e-12,2.6465385082657377e-12,5.641287558139938e-13,3.3202389145868995e-14,3.3202389145868995e-14,5.38854040356728e-13
2.524615723981912e-11,0.11224537276180913,0.9,0.0,0.0,0.0,0.0,0.09999999321372063,1.7381978556709548e-09,1.7225751861508235e-09,1.200781546409779e-09,1.2009954522632696e-09,1.035999795299213e-09,1.0402340707943318e-09,1.0401775899371436e-09,1.0400185169286957e-09,9.274199188399832e-10,9.274199188399832e-10,8.396274486265543e-10,8.397772077762332e-10,7.751945050333897e-12,7.56189231167037e-12,3.277157761253239e-12,6.972532110893287e-13,4.5958669285253473e-14,4.5958669285253473e-14,6.724971612965114e-13
3.054371180763793e-11,0.11224537292168603,0.9,0.0,0.0,0.0,0.0,0.09999999178971446,2.1029737993194436e-09,2.08229857462322e-09,1.4527216408049086e-09,1.4530346450966525e-09,1.2524242418024662e-09,1.2585398803346404e-09,1.2584642740800702e-09,1.2582315763214233e-09,1.1220260673713178e-09,1.1220260673713178e-09,1.0157925652394665e-09,1.016011764335257e-09,9.371685460872886e-12,1.085164238091239e-11,4.721544941550935e-12,1.0008860316432482e-12,8.020326723595783e-14,8.020326723595783e-14,9.84100241972021e-13
3.584126637545674e-11,0.11224537308157106,0.9,0.0,0.0,0.0,0.0,0.0999999903657083,2.4677633842471112e-09,2.4414994240827784e-09,1.7046523026551154e-09,1.7050831795417136e-09,1.4685443682308687e-09,1.476855115723525e-09,1.4767578128443815e-09,1.4764375784638246e-09,1.3166322131314483e-09,1.3166322131314483e-09,1.1919510870130937e-09,1.1922529133435751e-09,1.0989072640363045e-11,1.4652826812931104e-11,6.400272821493809e-12,1.351869633092623e-12,1.277281514715623e-13,1.277281514715623e-13,1.3547639281190043e-12
4.113882094327555e-11,0.1122453732414644,0.9,0.0,0.0,0.0,0.0,0.09999998894170217,2.8325666100125097e-09,2.800208581819739e-09,1.9565735323134937e-09,1.957141042737288e-09,1.684372464669686e-09,1.6951797766078903e-09,1.6950581871021298e-09,1.6946365235505018e-09,1.5112383561203748e-09,1.5112383561203748e-09,1.368103014194278e-09,1.3685006550079714e-09,1.260424550875708e-11,1.8934478318693257e-11,8.30203710837152e-12,1.7473749810596522e-12,1.903894249778871e-13,1.903894249778871e-13,1.7844556028094438e-12
4.643637551109436e-11,0.11224537340136628,0.9,0.0,0.0,0.0,0.0,0.09999998751769605,3.1973834761743076e-09,3.1584550291444474e-09,2.2084853301330423e-09,2.209208222340462e-09,1.8999202213171064e-09,1.913513862634733e-09,1.913365378841942e-09,1.9128284117760073e-09,1.705844496338098e-09,1.705844496338098e-09,1.5442483470297965e-09,1.5447549895346585e-09,1.4217334582617896e-11,2.3667502876445095e-11,1.0416076519091656e-11,2.1847403416838767e-12,2.699322494318745e-13,2.699322494318745e-13,2.2731442830784993e-12
