Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164)
8.552191804059018e-12,0.11224537225803724,0.9,0.0,0.0,0.0,0.0,0.09999999770113278,5.887658909344788e-10,5.852102426957222e-10,4.068037016026418e-10,4.068037016026418e-10,3.5186256848151357e-10,3.523453301539074e-10,3.523357289972037e-10,3.523357289972037e-10,3.1416556315545445e-10,3.1416556315545445e-10,2.8445103255576664e-10,2.8445103255576664e-10,2.6306849490805862e-12,9.249632896760394e-13,3.956930584397455e-13,8.70686139540924e-14
1e-11,0.11224537234133802,0.9,0.0,0.0,0.0,0.0,0.0999999973119555,6.884385936126724e-10,6.841050847989073e-10,4.756718629933651e-10,4.756718629933651e-10,4.1133679912008984e-10,4.119941852816049e-10,4.119829587365216e-10,4.119829587365216e-10,3.6735093148312795e-10,3.6735093148312795e-10,3.3260600150180463e-10,3.3260600150180463e-10,3.075982949014944e-12,1.2575258647500846e-12,5.385788071881979e-13,1.1880735432693747e-13
1.1313051074439235e-11,0.11224537234133802,0.9,0.0,0.0,0.0,0.0,0.09999999695900152,7.788340957414401e-10,7.737531808897338e-10,5.38130007122344e-10,5.38130007122344e-10,4.6525282702881854e-10,4.660911252239589e-10,4.660784245761896e-10,4.660784245761896e-10,4.155859842779326e-10,4.155859842779326e-10,3.7627886760162874e-10,3.7627886760162874e-10,3.4796452028341313e-12,1.6012696488720143e-12,6.865118585982488e-13,1.5178633654211156e-13
1.4073910344819452e-11,0.11224537242463879,0.9,0.0,0.0,0.0,0.0,0.09999999621687027,9.689022991378439e-10,9.621225384070182e-10,6.694563116674319e-10,6.694563116674319e-10,5.785493619978003e-10,5.798369194498666e-10,5.798211193110547e-10,5.798211193110547e-10,5.170064046477381e-10,5.170064046477381e-10,4.681067019660073e-10,4.681067019660073e-10,4.327823740618275e-12,2.4519369902072454e-12,1.0535092989571896e-12,2.340481531092601e-13
1.683476961519967e-11,0.1122453725079396,0.9,0.0,0.0,0.0,0.0,0.09999999547473903,1.1589705011236898e-09,1.1503238911019098e-09,8.007826152379052e-10,8.007826152379052e-10,6.917543019819021e-10,6.935827128316305e-10,6.935638132017989e-10,6.935638132017989e-10,6.18426824264871e-10,6.18426824264871e-10,5.599345356489024e-10,5.599345356489024e-10,5.1752456731446086e-12,3.471364348635169e-12,1.4947465923765144e-12,3.336642573517798e-13
1.9595628885579886e-11,0.11224537259124047,0.9,0.0,0.0,0.0,0.0,0.09999999473260779,1.3490387016989776e-09,1.3383626260324268e-09,9.321089178337636e-10,9.321089178337636e-10,8.048697210507587e-10,8.073285053692502e-10,8.073065062484218e-10,8.073065062484218e-10,7.198472431293312e-10,7.198472431293312e-10,6.517623686503137e-10,6.517623686503137e-10,6.021935260885927e-12,4.654140405664929e-12,2.0083370407382467e-12,4.504472777534341e-13
2.2356488155960102e-11,0.11224537267454121,0.9,0.0,0.0,0.0,0.0,0.09999999399047654,1.5391069008637068e-09,1.526243957674712e-09,1.063435219455007e-09,1.063435219455007e-09,9.178976437652002e-10,9.210742970627258e-10,9.210491984509238e-10,9.210491984509238e-10,8.212676612411189e-10,8.212676612411189e-10,7.435902009702413e-10,7.435902009702413e-10,6.867915987097157e-12,5.995027201897639e-12,2.5924413519689562e-12,5.842119455566732e-13
2.787820669672054e-11,0.11224537284114278,0.9,0.0,0.0,0.0,0.0,0.0999999925062141,1.9192432949614873e-09,1.9015544969040277e-09,1.3260878197736475e-09,1.3260878197736475e-09,1.1436988734020812e-09,1.148565877917244e-09,1.1485345803235632e-09,1.1485345803235632e-09,1.0241084952066762e-09,1.0241084952066762e-09,9.272458635656445e-10,9.272458635656445e-10,8.557841310839089e-12,9.130956746620914e-12,3.9650494958772475e-12,9.019550192852339e-13
3.339992523748097e-11,0.11224537300774438,0.9,0.0,0.0,0.0,0.0,0.09999999102195169,2.299379683417028e-09,2.27629398813702e-09,1.5887404161938252e-09,1.5887404161938252e-09,1.3691732415365088e-09,1.3760574553951827e-09,1.3760199588197158e-09,1.3760199588197158e-09,1.226949326161543e-09,1.226949326161543e-09,1.1109015234351114e-09,1.1109015234351114e-09,1.0245194935089128e-11,1.2840500344918822e-11,5.598760718806678e-12,1.28545313986742e-12
3.892164377824141e-11,0.11224537317434595,0.9,0.0,0.0,0.0,0.0,0.09999998953768927,2.6795160662303253e-09,2.6504984618737643e-09,1.851393008715539e-09,1.851393008715539e-09,1.594335269707663e-09,1.603549029496542e-09,1.6035053339393803e-09,1.6035053339393803e-09,1.429790154105719e-09,1.429790154105719e-09,1.2945571805786411e-09,1.2945571805786411e-09,1.1930139122248115e-11,1.7087465234313145e-11,7.480460388255448e-12,1.7332994006238298e-12
