Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689)
1.6222688608069973e-09,0.11224542166188005,0.9,0.0,0.0,0.0,0.0,0.09999956392785064,1.1232087868695301e-07,1.054537853177973e-07,7.672607958011607e-08,7.758626020187107e-08,6.253042339374242e-08,6.727690725547065e-08,6.713411824082158e-08,6.650468829656903e-08,5.959406857761225e-08,5.959406857761225e-08,5.3649526966790424e-08,5.426762264115935e-08,4.747935601802042e-10,3.3327776856196047e-09,1.7491633294236635e-09,3.067521642012355e-10,3.6423842510827857e-09,1.8303877463483407e-09,2.725801914745384e-09,1.8119965047344456e-09
1.755360941295916e-09,0.11224542580042278,0.9,0.0,0.0,0.0,0.0,0.09999952815226865,1.2159216378336273e-07,1.1388671048542959e-07,8.298178222451853e-08,8.398759998932596e-08,6.744429086064466e-08,7.283528324963981e-08,7.26673227774902e-08,7.193157223850491e-08,6.448319642262438e-08,6.448319642262438e-08,5.802373345134743e-08,5.874738107478153e-08,5.127621753835611e-10,3.614808022884467e-09,1.8971171142105784e-09,3.3230425390351436e-10,4.27423819331939e-09,2.155753256073648e-09,3.1888635506609003e-09,2.1184849372457425e-09
1.8884530217848347e-09,0.11224542994855079,0.9,0.0,0.0,0.0,0.0,0.09999949237669942,1.3087196869571686e-07,1.2228934291723516e-07,8.923160333772768e-08,9.039425557403142e-08,7.232796655442178e-08,7.83995365478984e-08,7.82042388155209e-08,7.735404166521477e-08,6.937232251851495e-08,6.937232251851495e-08,6.239382781089837e-08,6.323133916298946e-08,5.505943998082608e-10,3.895825244748581e-09,2.0441618383996355e-09,3.5769934561463986e-10,4.955554204686227e-09,2.507056573158605e-09,3.687872090792095e-09,2.4484976315276214e-09
2.0215451022737537e-09,0.1122454341062284,0.9,0.0,0.0,0.0,0.0,0.09999945660114302,1.4016028649042388e-07,1.306617914122583e-07,9.547554844733184e-08,9.680619428077587e-08,7.718163595976445e-08,8.396966162262021e-08,8.374483511847909e-08,8.277209964597091e-08,7.426144686528458e-08,7.426144686528458e-08,6.67598139096901e-08,6.771949971102006e-08,5.882907233138622e-10,4.175832997224805e-09,2.1903030944323804e-09,3.829384047216291e-10,5.686088414046471e-09,2.884138330257707e-09,4.222752908612172e-09,2.8019500837887645e-09
2.287729263251591e-09,0.11224544245009027,0.9,0.0,0.0,0.0,0.0,0.09999938505006861,1.587624330166326e-07,1.473165698707592e-07,1.0794583274011906e-07,1.0964579135940374e-07,8.679969222865368e-08,9.512750501690939e-08,9.483694420089074e-08,9.359499354075576e-08,8.403969031146348e-08,8.403969031146348e-08,7.547947676383765e-08,7.670843928948565e-08,6.632776183731905e-10,4.732834580465893e-09,2.4798973410032785e-09,4.3295225416990374e-10,7.293842335049259e-09,3.715004573797895e-09,5.399834330715626e-09,3.578837761251365e-09
2.5223985896703867e-09,0.11224544983742114,0.9,0.0,0.0,0.0,0.0,0.0999993219703156,1.7519035694019703e-07,1.6190041484265993e-07,1.1892025841106847e-07,1.2098246114004808e-07,9.518124455710921e-08,1.0498374430876819e-07,1.0462771430392075e-07,1.0312190652482023e-07,9.26602342611098e-08,9.26602342611098e-08,8.315318396000708e-08,8.46471037671096e-08,7.289402902120592e-10,5.220575981086627e-09,2.7322612076542668e-09,4.765362897312495e-10,8.87219776532921e-09,4.5314995252938304e-09,6.555850122285231e-09,4.340698240035377e-09
2.7570679160891824e-09,0.11224545725391896,0.9,0.0,0.0,0.0,0.0,0.09999925889060238,1.9164464418636763e-07,1.7639201508825407e-07,1.2987649774293762e-07,1.3233508041222065e-07,1.0347220800140088e-07,1.1485815679734784e-07,1.1442946886931808e-07,1.1263515011752473e-07,1.0128077277290488e-07,1.0128077277290488e-07,9.081417600754213e-08,9.25988738403143e-08,7.941876370660722e-10,5.705232357685226e-09,2.981897518742726e-09,5.196492636874917e-10,1.0600011863030469e-08,5.425819344233723e-09,7.822297086620763e-09,5.174192518796747e-09
2.991737242507978e-09,0.11224546469939371,0.9,0.0,0.0,0.0,0.0,0.09999919581092896,2.0812525690977738e-07,1.9079195401466804e-07,1.4081458086154404e-07,1.4370347671643815e-07,1.1167356163730012e-07,1.2475071235662802e-07,1.2424204086601688e-07,1.2213474110336477e-07,1.0990130584685211e-07,1.0990130584685211e-07,9.846247396692381e-08,1.0056376409774959e-07,8.590222856822133e-10,6.186823210908407e-09,3.228835703460887e-09,5.622962665727616e-10,1.2475990399441012e-08,6.397122894400166e-09,9.198775879197784e-09,6.078867505040847e-09
3.2264065689267737e-09,0.11224547217365677,0.9,0.0,0.0,0.0,0.0,0.09999913273129535,2.2463215731154212e-07,2.0510081132556408e-07,1.517345378428039e-07,1.5508747945652573e-07,1.197862739089463e-07,1.346613809104908e-07,1.3406526444960324e-07,1.316206962552365e-07,1.1852183348295493e-07,1.1852183348295493e-07,1.0609809886375166e-07,1.0854178890536443e-07,9.234468461328868e-10,6.665367932520616e-09,3.473104926132686e-09,6.044823347869768e-10,1.449885109824803e-08,7.444578126903003e-09,1.068488989131414e-08,7.0542729713450284e-09
3.4610758953455694e-09,0.1122454796765215,0.9,0.0,0.0,0.0,0.0,0.09999906965170151,2.4116530763922904e-07,2.193191630569033e-07,1.626363987128125e-07,1.6648691987993046e-07,1.2781130277564717e-07,1.445901324326402e-07,1.4389897495481008e-07,1.410930323344114e-07,1.2714235568121678e-07,1.2714235568121678e-07,1.1372107168880008e-07,1.1653296240795254e-07,9.87463911976945e-10,7.140885793151838e-09,3.7147340548823013e-09,6.462124501022602e-10,1.666732352253632e-08,8.567361984890538e-09,1.2280245225821632e-08,8.099961537645781e-09
3.695745221764365e-09,0.11224548720780261,0.9,0.0,0.0,0.0,0.0,0.09999900657214748,2.577246701868244e-07,2.334475816084e-07,1.7352019344792777e-07,1.7790163105756546e-07,1.357495958647991e-07,1.5453693694651896e-07,1.5374300888780414e-07,1.5055176609051067e-07,1.3576287244164108e-07,1.3576287244164108e-07,1.2133141339807653e-07,1.2453729853074107e-07,1.0510760604013152e-09,7.613395935030056e-09,3.953751626676539e-09,6.874915399596836e-10,1.8980148958480976e-08,9.764660305446008e-09,1.3984450672260339e-08,9.21548865303497e-09
4.165083874601957e-09,0.11224550235488134,0.9,0.0,0.0,0.0,0.0,0.09999888041315884,2.909218813495969e-07,2.614368906832375e-07,1.9523370417068833e-07,2.0077620696582977e-07,1.5136971410671904e-07,1.7448458529146223e-07,1.7346139887629794e-07,1.6942849357357401e-07,1.5300388964899067e-07,1.5300388964899067e-07,1.3651428711983386e-07,1.405855132487971e-07,1.1770958323011474e-09,8.549469029878545e-09,4.424064691409516e-09,7.687160879878586e-10,2.403388198269708e-08,1.2379587610204452e-08,1.771786035579175e-08,1.1654294372492624e-08
4.587488662155789e-09,0.11224551608261099,0.9,0.0,0.0,0.0,0.0,0.09999876687020517,3.2088863987072377e-07,2.863253659042558e-07,2.147143773471746e-07,2.214139132852824e-07,1.6514048278575457e-07,1.9249891032431062e-07,1.912416395411345e-07,1.8637119615620785e-07,1.6852078653823538e-07,1.6852078653823538e-07,1.50135884574308e-07,1.550740579125462e-07,1.2891543315625426e-09,9.381837981778757e-09,4.8386948333327845e-09,8.403240261930132e-10,2.9063537670884326e-08,1.497987274092248e-08,2.144632599951092e-08,1.4083664929961835e-08
